[Chat Event] Time: 2026-07-19T08:34:07.402Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: บอกแวร์อย่าแพร่ม
[Chat Event] Time: 2026-07-19T08:34:19.935Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS. 9BAS
[Chat Event] Time: 2026-07-19T08:34:22.483Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:24.141Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:24.141Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: พี่ก้องเจิม asหน่อย
[Chat Event] Time: 2026-07-19T08:34:24.993Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Ps
[Chat Event] Time: 2026-07-19T08:34:24.993Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:27.500Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PSดีวะ
[Chat Event] Time: 2026-07-19T08:34:28.294Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:28.294Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:29.044Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PSดิวะ
[Chat Event] Time: 2026-07-19T08:34:30.751Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ต้องSไหนวะ
[Chat Event] Time: 2026-07-19T08:34:30.752Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:31.595Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: 15
[Chat Event] Time: 2026-07-19T08:34:32.447Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:34.099Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: เอเอฟดี
[Chat Event] Time: 2026-07-19T08:34:34.954Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:34.954Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:35.809Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: @PLUS_Ari
[Chat Event] Time: 2026-07-19T08:34:36.603Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:38.256Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Psดิวะะะ
[Chat Event] Time: 2026-07-19T08:34:38.256Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:39.114Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:41.616Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:44.116Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: น้าผู้ใหญ่บอกPSดิวะ
[Chat Event] Time: 2026-07-19T08:34:44.116Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:46.667Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คอปชาบู
[Chat Event] Time: 2026-07-19T08:34:47.417Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:47.418Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คอปดิว่ะ
[Chat Event] Time: 2026-07-19T08:34:51.669Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:53.323Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:54.174Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:54.175Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คุณไปไหนมาคุณโก้
[Chat Event] Time: 2026-07-19T08:34:55.821Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: as
[Chat Event] Time: 2026-07-19T08:34:56.674Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:34:57.534Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:34:59.187Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:35:00.036Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กูโอมมดิ่วะ
[Chat Event] Time: 2026-07-19T08:35:00.888Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ชาบูดิวะ
[Chat Event] Time: 2026-07-19T08:35:00.888Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:35:03.390Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:35:05.936Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: As
[Chat Event] Time: 2026-07-19T08:35:05.937Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คอปคัด6
[Chat Event] Time: 2026-07-19T08:35:06.796Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: เอาหน่อยๆ ps
[Chat Event] Time: 2026-07-19T08:35:07.588Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:35:12.596Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: งานนี้psมาแน่
[Chat Event] Time: 2026-07-19T08:35:15.944Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:35:17.499Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Ps
[Chat Event] Time: 2026-07-19T08:35:20.805Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กูโอมดิ๊ว๊าาาา
[Chat Event] Time: 2026-07-19T08:35:21.607Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:35:26.661Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:35:27.508Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: AsอะไรPs diiii
[Chat Event] Time: 2026-07-19T08:35:29.159Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คอปนะดิว้ะ
[Chat Event] Time: 2026-07-19T08:35:31.665Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: PS
[Chat Event] Time: 2026-07-19T08:35:44.030Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Asดิว่ะ❤️💯🐺
[Chat Event] Time: 2026-07-19T08:35:53.933Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Psสู้ๆ Psสู้ตาย Psว้ายลาย สู้ตายสู้ๆ
[Chat Event] Time: 2026-07-19T08:35:58.016Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คอปดิว่ะ
[Chat Event] Time: 2026-07-19T08:35:58.017Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: Asดิว่ะ❤️💯🐺
[Chat Event] Time: 2026-07-19T08:35:58.866Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ห้ะะะ
[Chat Event] Time: 2026-07-19T08:35:58.867Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: กำเริ่มแข่งใช่ไหมครับพอดีพึ่งมา
[Chat Event] Time: 2026-07-19T08:36:00.516Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: คนดู♥️จะ1mแล้ว
[Chat Event] Time: 2026-07-19T08:36:03.828Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: สวยยย
[Chat Event] Time: 2026-07-19T08:36:07.125Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ps
[Chat Event] Time: 2026-07-19T08:36:08.103Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: อะไร
[Chat Event] Time: 2026-07-19T08:36:09.620Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ขยับหน่อย
[Chat Event] Time: 2026-07-19T08:36:09.621Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: งานชาบู
[Chat Event] Time: 2026-07-19T08:36:10.421Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: ไมค์ดังมากเลยครับบบ
[Chat Event] Time: 2026-07-19T08:36:14.606Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: [] | Content: 🤣🤣🤣
[Gift Event] Time: 2026-07-19T08:36:15.429Z | Token: 2afbab0ebcdf8d2539323671bd12ef68 | GiftName: Popular Vote | GiftId: 13651
[Gift Event] Time: 2026-07-19T08:36:16.277Z | Token: 2afbab0ebcdf8d2539323671bd12ef68 | GiftName: Heart Me | GiftId: 7934
[Chat Event] Time: 2026-07-19T08:36:17.075Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: PSดิว่ะ
[Gift Event] Time: 2026-07-19T08:36:18.780Z | Token: 2afbab0ebcdf8d2539323671bd12ef68 | GiftName: Popular Vote | GiftId: 13651
[Chat Event] Time: 2026-07-19T08:36:27.082Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: กัสไม่ลงหรอ
[Chat Event] Time: 2026-07-19T08:36:27.936Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: ดันมาหมดยกตี้55555
[Chat Event] Time: 2026-07-19T08:36:29.532Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: ไมดูดเสียงแก่ได้ไหมพี่โก้
[Gift Event] Time: 2026-07-19T08:36:31.189Z | Token: 2afbab0ebcdf8d2539323671bd12ef68 | GiftName: Divine Fingers | GiftId: 118812
[Chat Event] Time: 2026-07-19T08:36:31.982Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: @keen. partner ใช่ค่ะพึ่งเริ่ม
[Chat Event] Time: 2026-07-19T08:36:33.533Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: พี่เสียงเกมเบา
[Gift Event] Time: 2026-07-19T08:36:34.436Z | Token: 2afbab0ebcdf8d2539323671bd12ef68 | GiftName: Divine Fingers | GiftId: 118812
[Chat Event] Time: 2026-07-19T08:36:37.692Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: ASดิว่ะ
[Chat Event] Time: 2026-07-19T08:36:42.701Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: @บีม11ขวบ ไม่ค้าบ
[Chat Event] Time: 2026-07-19T08:36:43.543Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: Ps 🏆
[Chat Event] Time: 2026-07-19T08:36:50.168Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: สวยยย
[Chat Event] Time: 2026-07-19T08:36:56.611Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: เกมเริ่มนานยัง
[Chat Event] Time: 2026-07-19T08:36:57.360Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: k2j
[Chat Event] Time: 2026-07-19T08:36:59.013Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: สวย
[Chat Event] Time: 2026-07-19T08:36:59.813Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: มาเด้
[Chat Event] Time: 2026-07-19T08:37:00.616Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: พี่โก้ย้ายกล้องหน่อย
[Chat Event] Time: 2026-07-19T08:37:08.169Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: อาวววเดดด
[Chat Event] Time: 2026-07-19T08:37:08.169Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: เกมแรกใครชนะ
[Chat Event] Time: 2026-07-19T08:37:08.170Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 555แวร์
[Chat Event] Time: 2026-07-19T08:37:08.969Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 55555
[Chat Event] Time: 2026-07-19T08:37:08.970Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: ไม่มีเสียงเกมพี่โก้
[Chat Event] Time: 2026-07-19T08:37:09.816Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 55555
[Chat Event] Time: 2026-07-19T08:37:13.180Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 5555
[Chat Event] Time: 2026-07-19T08:37:15.578Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: @noeymiieu พึ่งเริ่มค่า
[Chat Event] Time: 2026-07-19T08:37:18.836Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: psทั่งใจเลยพี่ไก้
[Chat Event] Time: 2026-07-19T08:37:19.688Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: กล้อง
[Chat Event] Time: 2026-07-19T08:37:20.540Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: แวรเขินกล้องละ55
[Chat Event] Time: 2026-07-19T08:37:20.540Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: มาเด้ๆ
[Chat Event] Time: 2026-07-19T08:37:23.048Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: อ้าว
[Chat Event] Time: 2026-07-19T08:37:23.049Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: เริ่ด
[Chat Event] Time: 2026-07-19T08:37:25.547Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: ไม่มีเสียงเกมพี่โก้
[Chat Event] Time: 2026-07-19T08:37:25.548Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 555555
[Chat Event] Time: 2026-07-19T08:37:25.548Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 555
[Chat Event] Time: 2026-07-19T08:37:25.548Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 5555
[Chat Event] Time: 2026-07-19T08:37:27.202Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 4445252526
[Chat Event] Time: 2026-07-19T08:37:28.854Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: คนดู
[Chat Event] Time: 2026-07-19T08:37:29.704Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: สวย
[Chat Event] Time: 2026-07-19T08:37:30.720Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: อ้าว555
[Chat Event] Time: 2026-07-19T08:37:30.720Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: มาดิ่
[Chat Event] Time: 2026-07-19T08:37:31.406Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 5555
[Chat Event] Time: 2026-07-19T08:37:35.558Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: กล่องไปแล้ว55
[Chat Event] Time: 2026-07-19T08:37:36.410Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: อาการมา555
[Chat Event] Time: 2026-07-19T08:37:36.410Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 55555
[Chat Event] Time: 2026-07-19T08:37:37.266Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 55
[Chat Event] Time: 2026-07-19T08:37:38.058Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: 555
[Chat Event] Time: 2026-07-19T08:37:40.468Z | Room: 2afbab0ebcdf8d2539323671bd12ef68 | Sockets in Room: ["sa7icpdCvVnFIWsbAAAK","CW4B6FLb1ymJHfU_AAAL","v_WevQI8hW3Sw0QXAAAN"] | Content: เอาว่ะ
